"Gene","ensembl_id","hgnc_symbol","AUC"
"ENSG00000107859.10","ENSG00000107859","PITX3",0.674837758809561
"ENSG00000107984.10","ENSG00000107984","DKK1",0.651795522509764
"ENSG00000148795.7","ENSG00000148795","CYP17A1",0.422144659682838
"ENSG00000168175.15","ENSG00000168175","MAPK1IP1L",0.594956271298293
"ENSG00000183044.12","ENSG00000183044","ABAT",0.347190012966606
"ENSG00000196371.3","ENSG00000196371","FUT4",0.593000289939327
"ENSG00000196781.16","ENSG00000196781","TLE1",0.648651962905425
"ENSG00000198208.12","ENSG00000198208","RPS6KL1",0.382610659009634
"ENSG00000211813.2","ENSG00000211813","TRAV34",0.420400584260072
"ENSG00000213943.3","ENSG00000213943","KRT18P17",0.633889012657129
"ENSG00000213958.2","ENSG00000213958","KRT18P29",0.631018359783896
"ENSG00000219532.2","ENSG00000219532","SELENOKP2",0.473886357732318
"ENSG00000223617.2","ENSG00000223617","LINC00370",0.613547809042558
"ENSG00000226784.3","ENSG00000226784","PGAM4",0.656868985692431
"ENSG00000237125.11","ENSG00000237125","HAND2-AS1",0.574228740898133
"ENSG00000237457.6","ENSG00000237457","BRINP3-DT",0.596252542664262
"ENSG00000237742.7","ENSG00000237742","HEY2-AS1",0.385655966925365
"ENSG00000248545.3","ENSG00000248545","",0.41359063305785
"ENSG00000249102.3","ENSG00000249102","",0.629008147447763
"ENSG00000250708.2","ENSG00000250708","LINC02269",0.597052847693179
"ENSG00000253258.1","ENSG00000253258","FAM83A-AS2",0.632139433886869
"ENSG00000254533.1","ENSG00000254533","",0.350153038817982
"ENSG00000255325.2","ENSG00000255325",NA,0.625016623318386
"ENSG00000256574.8","ENSG00000256574","OR13A1",0.411771623860563
"ENSG00000256582.1","ENSG00000256582","LINC02390",0.42314432977406
"ENSG00000257225.1","ENSG00000257225","",0.403601754923993
"ENSG00000259977.1","ENSG00000259977","",0.570177019706473
"ENSG00000260412.1","ENSG00000260412","",0.635925204077826
"ENSG00000260835.1","ENSG00000260835","",0.503431371613389
"ENSG00000269845.1","ENSG00000269845","CCNYL6",0.379721831131045
"ENSG00000271964.1","ENSG00000271964","",0.389329832632483
"ENSG00000272106.1","ENSG00000272106","",0.357394870782221
"ENSG00000283128.2","ENSG00000283128","",0.582804721800342
"ENSG00000284605.1","ENSG00000284605","ENPP7P15",0.43227980696243
"ENSG00000286674.1","ENSG00000286674","",0.397673606558764
"ENSG00000286878.1","ENSG00000286878","",0.60333033109989
"ENSG00000287785.1","ENSG00000287785","",0.591086881654821
